date,reits_index,tb10y,hs300,csi_dividend,nav,reits_index_norm,nav_norm
2023-01-10,1106.2551,2.88,4017.4737,4968.9988,,1.0954758368604605,
2023-01-11,1105.9598,2.86,4010.0309,4995.8475,,1.0951834142405559,
2023-01-12,1104.0608,2.88,4017.8692,4976.5391,,1.0933029179479756,
2023-01-13,1101.5047,2.8975,4074.3772,5019.2458,,1.0907717243863828,
2023-01-16,1098.4215,2.9125,4137.9643,5038.5611,,1.0877185668459493,
2023-01-17,1095.4953,2.9,4137.2422,5030.9612,,1.0848208795097996,
2023-01-18,1095.9631,2.915,4130.3143,5036.7192,,1.0852841213032007,
2023-01-19,1096.4958,2.91,4156.0077,5057.0592,,1.08581163071608,
2023-01-20,1098.2472,2.9225,4181.5267,5106.6742,,1.0875459652115118,
2023-01-30,1105.8607,2.9125,4201.345,5088.4584,,1.095085279863202,
2023-01-31,1118.715,2.8975,4156.8578,5099.7113,,1.1078143285697395,
2023-02-01,1125.3428,2.91,4195.9332,5115.4126,,1.1143775478051072,
2023-02-02,1120.8305,2.895,4181.1493,5123.7449,,1.109909215303259,
2023-02-03,1122.4342,2.895,4141.6319,5078.3412,,1.1114972889759345,
2023-02-06,1122.5965,2.8975,4086.8779,5049.7994,,1.1116580075374334,
2023-02-07,1121.6085,2.895,4094.2335,5076.7373,,1.1106796345321308,
2023-02-08,1120.8632,2.895,4076.1411,5054.0931,,1.1099415966770174,
2023-02-09,1120.3125,2.8875,4130.8565,5091.4248,,1.10939626265473,
2023-02-10,1123.7614,2.89,4106.3097,5093.7288,,1.1128115568429766,
2023-02-13,1126.9448,2.895,4143.574,5111.8712,,1.11596393804245,
2023-02-14,1132.1885,2.89,4145.2902,5138.1849,,1.121156543839924,
2023-02-15,1128.9936,2.89,4123.6893,5106.61,,1.1179927746955507,
2023-02-16,1126.1707,2.89,4093.4876,5062.7955,,1.1151973808122833,
2023-02-17,1125.0464,2.888,4034.507,5069.2342,,1.1140840359035165,
2023-02-20,1126.789,2.9175,4133.4896,5182.7456,,1.11580965614546,
2023-02-21,1129.6271,2.919,4144.3536,5241.1907,,1.1186201019211166,
2023-02-22,1127.4857,2.918,4106.9506,5244.3046,,1.1164995675551705,
2023-02-23,1122.9015,2.9225,4103.6463,5251.396,,1.1119600356412966,
2023-02-24,1116.5318,2.91,4061.0457,5230.0646,,1.105652401499723,
